engine,tp,sl,filter,train_n,train_final,train_multiple,train_dd,train_wr,train_pos_years,modern_final,modern_dd,train_score,retain_train,selection,oos_final,oos_multiple,oos_dd,oos_wr,oos_trades,oos_pos_years,full_final,full_dd,oos_ret_2023,oos_ret_2024,oos_ret_2025,oos_ret_2026
A,20,12,close>=0.85,109,711.0869999999991,2.370289999999997,0.4767605962350435,0.5504587155963303,4,1461.2710000000004,0.2125950161736243,0.5527860636514651,0.4954545454545455,robust2018_22,1627.6119999999953,5.425373333333318,0.5712780774942948,0.509090909090909,110,4,4802.748999999987,0.5829668260740111,0.7067466666666709,0.5986828742402646,0.10389902316739597,0.8012288460091319
A,20,15,close>=0.85,109,808.0079999999996,2.6933599999999984,0.3982160768853964,0.5779816513761468,4,1231.5820000000008,0.15572968441379476,0.7796358210450482,0.4954545454545455,robust2018_22,1038.2289999999987,3.460763333333329,0.5437923574769097,0.5363636363636364,110,3,3183.8729999999946,0.5429186604481205,0.7825800000000027,0.46379592126767344,-0.1782971384772628,0.6140892279421495
A,15,15,prevRoom+trend,198,631.3820000000001,2.1046066666666667,0.49924424538878337,0.5353535353535354,4,690.4030000000005,0.34098296945049783,0.4057185821074997,0.9,robust2018_22,846.676999999999,2.8222566666666635,0.4582762563837374,0.5616438356164384,146,3,1702.4679999999985,0.510319044872107,0.4448600000000018,0.42349893184575915,-0.33280553363143084,1.0566536386536072
A,15,15,prevRoom>=0,198,631.3820000000001,2.1046066666666667,0.49924424538878337,0.5353535353535354,4,690.4030000000005,0.34098296945049783,0.4057185821074997,0.9,robust2018_22,846.676999999999,2.8222566666666635,0.4582762563837374,0.5616438356164384,146,3,1702.4679999999985,0.510319044872107,0.4448600000000018,0.42349893184575915,-0.33280553363143084,1.0566536386536072
A,15,15,TPspread+close,155,568.4050000000002,1.894683333333334,0.466830401475388,0.535483870967742,3,614.3700000000008,0.34495974946737207,0.2639226075482599,0.7045454545454546,robust2018_22,846.1409999999992,2.820469999999997,0.5179303215390394,0.5704697986577181,149,3,1580.1569999999979,0.573578341961369,0.7315300000000031,0.14299877372419934,-0.3075415037870062,1.0580311863813168
A,15,15,trend+close,155,568.4050000000002,1.894683333333334,0.466830401475388,0.535483870967742,3,614.3700000000008,0.34495974946737207,0.2639226075482599,0.7045454545454546,robust2018_22,846.1409999999992,2.820469999999997,0.5179303215390394,0.5704697986577181,149,3,1580.1569999999979,0.573578341961369,0.7315300000000031,0.14299877372419934,-0.3075415037870062,1.0580311863813168
A,15,15,close>=0.70,155,568.4050000000002,1.894683333333334,0.466830401475388,0.535483870967742,3,614.3700000000008,0.34495974946737207,0.2639226075482599,0.7045454545454546,robust2018_22,846.1409999999992,2.820469999999997,0.5179303215390394,0.5704697986577181,149,3,1580.1569999999979,0.573578341961369,0.7315300000000031,0.14299877372419934,-0.3075415037870062,1.0580311863813168
A,15,15,close>=0.85,109,622.6859999999988,2.075619999999996,0.3709926746265251,0.5779816513761468,4,944.2430000000002,0.16068085835714552,0.5516510943168196,0.4954545454545455,robust2018_22,829.3399999999988,2.7644666666666624,0.43390917625846775,0.5727272727272728,110,3,1868.4809999999952,0.469537915603064,0.494946666666668,0.30406435904067797,-0.14621134919603784,0.6608723515039869
A,15,15,early+trend,203,645.0190000000007,2.1500633333333354,0.5383416345288099,0.5320197044334976,4,839.3550000000012,0.30938642788119913,0.38026196714063343,0.9227272727272727,robust2018_22,729.3009999999995,2.4310033333333316,0.5831814157511376,0.558282208588957,163,3,1561.348,0.6171122257757471,0.3351266666666697,0.5655143831546539,-0.21967536775494179,0.49049562539214153
A,15,15,time<=13,203,645.0190000000007,2.1500633333333354,0.5383416345288099,0.5320197044334976,4,839.3550000000012,0.30938642788119913,0.38026196714063343,0.9227272727272727,robust2018_22,729.3009999999995,2.4310033333333316,0.5831814157511376,0.558282208588957,163,3,1561.348,0.6171122257757471,0.3351266666666697,0.5655143831546539,-0.21967536775494179,0.49049562539214153
A,20,20,close>=0.85,109,584.7149999999999,1.9490499999999997,0.37149585039007516,0.5779816513761468,4,754.4810000000002,0.10301388183821666,0.4924077790654018,0.4954545454545455,robust2018_22,669.5969999999995,2.2319899999999984,0.39370272491498515,0.5727272727272728,110,3,1803.8229999999978,0.40735400397380916,0.31989666666666916,0.3157065325820938,-0.09862585632050525,0.42589709900191064
